Session will be spooled to /home/appuser/query5.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  stressId,
  max(stressLevel) as max_stress
FROM stressStream
  WINDOW HOPPING (SIZE 10 SECONDS, ADVANCE BY 5 SECONDS)
  GROUP BY stressId
  EMIT CHANGES;
+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+
|WINDOW_START                                          |WINDOW_END                                            |STRESSID                                              |MAX_STRESS                                            |
+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+
|2024-06-05T15:52:05.000                               |2024-06-05T15:52:15.000                               |2                                                     |6                                                     |
|2024-06-05T15:52:10.000                               |2024-06-05T15:52:20.000                               |2                                                     |6                                                     |
|2024-06-05T15:52:05.000                               |2024-06-05T15:52:15.000                               |3                                                     |4                                                     |
|2024-06-05T15:52:10.000                               |2024-06-05T15:52:20.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:10.000                               |2024-06-05T15:52:20.000                               |3                                                     |6                                                     |
|2024-06-05T15:52:15.000                               |2024-06-05T15:52:25.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:15.000                               |2024-06-05T15:52:25.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:15.000                               |2024-06-05T15:52:25.000                               |2                                                     |2                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |1                                                     |5                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |2                                                     |5                                                     |
|2024-06-05T15:52:25.000                               |2024-06-05T15:52:35.000                               |2                                                     |5                                                     |
|2024-06-05T15:52:25.000                               |2024-06-05T15:52:35.000                               |1                                                     |5                                                     |
|2024-06-05T15:52:25.000                               |2024-06-05T15:52:35.000                               |3                                                     |6                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |3                                                     |7                                                     |
|2024-06-05T15:52:35.000                               |2024-06-05T15:52:45.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:35.000                               |2024-06-05T15:52:45.000                               |3                                                     |7                                                     |
|2024-06-05T15:52:35.000                               |2024-06-05T15:52:45.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:45.000                               |2024-06-05T15:52:55.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |2                                                     |2                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:45.000                               |2024-06-05T15:52:55.000                               |2                                                     |6                                                     |
|2024-06-05T15:52:45.000                               |2024-06-05T15:52:55.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:55.000                               |2024-06-05T15:53:05.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:55.000                               |2024-06-05T15:53:05.000                               |1                                                     |6                                                     |
|2024-06-05T15:52:55.000                               |2024-06-05T15:53:05.000                               |3                                                     |8                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |1                                                     |6                                                     |
|2024-06-05T15:53:05.000                               |2024-06-05T15:53:15.000                               |1                                                     |6                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |3                                                     |8                                                     |
|2024-06-05T15:53:05.000                               |2024-06-05T15:53:15.000                               |3                                                     |8                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |2                                                     |6                                                     |
|2024-06-05T15:53:05.000                               |2024-06-05T15:53:15.000                               |2                                                     |6                                                     |
Query terminated

ksql> spool off
